,Player,ID,Team,Opponent,Round,Kicks,Marks,Hand.Balls,Disp,Goals,Behinds,Hit.Outs,Tackles,Rebounds,Inside.50,Clearances,Clangers,Frees.For,Frees.Against,Brownlow,Uncontested.Possessions,Contested.Possessions,Contested.Marks,Marks.Inside.50,One.Percenters,Bounces,Goal.Assists,X..Time.Played
8228,Dayne Zorko,12076,BL,ME,22,16,7,10,26,1,0,0,8,3,6,5,4,1,1,0,8,18,0,0,3,0,0,84
8229,David Astbury,11828,RI,FR,22,9,8,10,19,0,0,0,0,2,1,0,2,0,0,0,5,14,1,0,3,0,0,96
8230,Nathan Broad,12456,RI,FR,22,8,5,11,19,0,0,0,3,3,1,0,1,0,1,0,7,12,0,0,2,1,1,71
8231,Dan Butler,12490,RI,FR,22,10,3,7,17,3,1,0,1,0,5,2,2,4,2,0,7,11,0,0,1,1,0,80
8232,Jason Castagna,12431,RI,FR,22,1,3,7,8,0,1,0,1,0,1,0,0,0,0,0,2,6,1,1,1,0,2,70
8233,Trent Cotchin,11666,RI,FR,22,11,1,7,18,0,0,0,1,0,2,5,2,2,1,0,13,6,0,0,1,0,0,77
8234,Shane Edwards,11557,RI,FR,22,4,1,10,14,1,0,0,5,1,3,3,1,0,1,0,5,8,0,0,1,0,1,80
8235,Brandon Ellis,12034,RI,FR,22,16,9,17,33,0,0,0,1,3,0,1,4,1,2,0,9,25,0,0,1,3,0,84
8236,Jack Graham,12576,RI,FR,22,5,0,8,13,1,0,0,11,1,4,3,0,3,0,0,6,8,0,0,1,0,1,63
8237,Shaun Grigg,11594,RI,FR,22,24,8,12,36,0,1,1,8,1,3,6,7,2,1,2,11,23,0,1,0,0,0,85
8238,Dylan Grimes,11879,RI,FR,22,6,5,5,11,0,0,0,5,3,0,0,0,1,0,0,5,6,1,0,5,0,0,93
8239,Bachar Houli,11566,RI,FR,22,18,7,11,29,1,0,0,7,7,4,1,1,0,1,0,2,26,0,1,2,0,0,86
8240,Kane Lambert,12333,RI,FR,22,13,4,9,22,3,0,0,5,0,2,2,0,1,0,0,6,14,0,0,1,0,2,84
8241,Oleg Markov,12459,RI,FR,22,11,8,4,15,0,0,0,1,1,3,0,3,0,0,0,4,11,1,1,1,1,0,69
8242,Dustin Martin,11794,RI,FR,22,17,6,19,36,2,0,0,1,0,4,7,4,1,0,3,13,24,2,2,2,5,1,76
8243,Kamdyn McIntosh,12317,RI,FR,22,8,4,8,16,1,0,0,4,2,2,0,3,1,2,0,7,9,1,1,2,0,0,73
8244,Toby Nankervis,12374,RI,FR,22,13,4,13,26,1,0,32,6,0,4,5,3,1,0,0,10,16,1,1,6,0,0,87
8245,Dion Prestia,11917,RI,FR,22,6,6,17,23,0,0,0,7,0,2,4,2,0,0,0,12,13,0,0,5,2,1,83
8246,Alex Rance,11733,RI,FR,22,7,5,13,20,1,0,0,2,0,0,0,1,2,0,0,9,12,0,1,5,0,0,93
8247,Jack Riewoldt,11576,RI,FR,22,6,3,5,11,4,0,0,0,0,2,0,0,0,0,0,7,4,0,2,2,0,1,93
8248,Daniel Rioli,12403,RI,FR,22,9,1,4,13,1,1,0,3,0,4,1,1,0,1,0,2,11,0,1,0,0,3,84
8249,Jacob Townsend,12023,RI,FR,22,10,5,6,16,6,1,0,4,0,2,1,3,0,1,1,5,10,1,2,6,0,0,89
8250,Nick Vlastuin,12174,RI,FR,22,15,10,7,22,0,0,0,1,7,1,0,2,2,1,0,6,17,0,0,4,0,0,83
8251,Hayden Ballantyne,11770,FR,RI,22,10,4,6,16,1,0,0,6,0,4,3,0,2,0,0,6,10,0,1,1,0,1,77
8252,Harley Bennell,11916,FR,RI,22,4,1,2,6,2,0,0,3,0,0,1,1,1,1,0,3,3,0,0,1,0,0,48
8253,Brennan Cox,12544,FR,RI,22,7,7,3,10,0,1,6,1,0,2,0,2,0,1,0,3,7,3,1,0,0,0,77
8254,Hayden Crozier,12088,FR,RI,22,8,4,5,13,2,1,0,8,0,0,0,3,1,1,0,4,9,1,2,2,0,0,87
8255,Sean Darcy,12547,FR,RI,22,3,0,9,12,0,0,45,2,1,3,2,3,1,3,0,7,5,0,0,1,0,0,84
8256,Josh Deluca,12548,FR,RI,22,5,0,7,12,1,0,0,2,0,1,1,3,1,0,0,6,4,0,0,2,0,0,84
8257,Nat Fyfe,11834,FR,RI,22,14,6,16,30,1,0,0,2,2,9,8,5,1,4,0,20,14,2,1,3,3,1,87
8258,Joel Hamling,12359,FR,RI,22,5,3,4,9,0,0,0,0,1,1,1,1,1,1,0,5,4,0,0,6,0,0,94
8259,Bradley Hill,12060,FR,RI,22,16,4,10,26,0,1,0,3,0,4,4,4,0,0,0,8,17,0,0,0,0,0,90
8260,Stephen Hill,11716,FR,RI,22,15,1,9,24,0,0,0,2,3,0,3,5,0,1,0,13,9,0,0,3,0,0,86
8261,Ethan Hughes,12395,FR,RI,22,6,2,6,12,0,0,0,1,4,0,0,3,1,0,0,7,5,1,0,3,0,0,86
8262,Michael Johnson,4083,FR,RI,22,8,5,5,13,0,1,0,3,1,0,0,1,0,0,0,3,10,0,0,1,0,0,89
8263,Griffin Logue,12511,FR,RI,22,1,2,3,4,0,0,0,1,0,0,0,1,0,0,0,1,2,0,0,2,0,0,79
8264,Cam McCarthy,12315,FR,RI,22,2,1,3,5,0,1,0,1,0,2,1,1,0,0,0,3,2,0,0,0,0,1,81
8265,David Mundy,4088,FR,RI,22,8,5,19,27,0,0,0,2,1,3,6,2,0,0,0,16,13,0,0,1,0,0,78
8266,Ryan Nyhuis,12554,FR,RI,22,6,2,3,9,0,0,0,4,2,0,0,5,2,1,0,6,5,0,0,0,0,0,84
8267,Luke Ryan,12542,FR,RI,22,9,3,2,11,0,0,0,7,1,2,1,4,1,2,0,2,9,0,0,2,0,0,80
8268,Nick Suban,11717,FR,RI,22,7,2,5,12,0,0,0,8,1,3,2,2,1,1,0,7,5,0,0,1,0,0,72
8269,Cameron Sutcliffe,12104,FR,RI,22,5,0,7,12,0,0,0,4,1,2,1,5,0,2,0,6,8,0,0,2,0,0,81
8270,Matthew Taberner,12205,FR,RI,22,7,5,4,11,0,2,1,2,0,0,0,2,0,2,0,4,7,2,2,2,0,1,100
8271,Darcy Tucker,12426,FR,RI,22,9,3,3,12,0,0,0,11,3,3,1,4,1,1,0,2,10,0,0,1,0,0,74
8272,Lachie Weller,12385,FR,RI,22,11,1,10,21,0,0,0,0,3,2,2,4,0,0,0,3,18,0,0,3,1,0,83
8273,Shaun Atley,11902,NM,SK,22,11,3,6,17,0,0,0,2,1,3,0,3,0,0,0,2,15,0,1,2,2,1,88
8274,Ben Brown,12289,NM,SK,22,9,8,0,9,2,2,0,2,0,3,0,0,1,0,0,4,5,4,4,0,0,1,100
8275,Ryan Clarke,12461,NM,SK,22,12,4,13,25,0,0,0,1,7,1,0,2,0,0,0,2,18,0,0,0,0,0,84
8276,Ben Cunnington,11835,NM,SK,22,12,5,24,36,2,0,0,7,4,0,3,5,2,2,0,22,14,1,1,1,0,1,79
8277,Trent Dumont,12343,NM,SK,22,10,1,8,18,0,0,0,4,2,2,2,1,0,0,0,5,13,0,0,0,0,0,86
8278,Sam Durdin,12515,NM,SK,22,3,2,4,7,0,0,0,2,2,0,1,2,0,2,0,3,4,0,0,4,0,0,90
8279,Taylor Garner,12220,NM,SK,22,9,6,15,24,2,0,0,1,1,5,1,3,0,1,0,9,15,2,1,4,0,0,90
8280,Sam Gibson,12093,NM,SK,22,10,5,11,21,1,0,0,5,2,2,1,1,0,0,0,3,17,1,1,2,0,1,91
8281,Todd Goldstein,11686,NM,SK,22,5,7,10,15,1,0,24,3,0,2,0,1,0,0,0,6,9,1,1,1,0,0,70
8282,Shaun Higgins,4180,NM,SK,22,14,4,18,32,0,1,0,4,1,6,10,3,0,0,0,14,17,1,1,0,0,2,86
8283,Nathan Hrovat,12190,NM,SK,22,6,5,4,10,2,1,0,1,0,0,1,0,0,0,0,3,7,0,5,1,0,0,79
8284,Luke McDonald,12246,NM,SK,22,11,5,15,26,0,0,0,3,2,4,2,5,1,1,0,8,18,0,0,3,0,0,85
8285,Declan Mountford,12501,NM,SK,22,10,5,10,20,0,0,0,4,2,1,0,4,2,1,0,5,15,1,0,1,4,1,87
8286,Dan Nielson,12555,NM,SK,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
8287,Braydon Preuss,12500,NM,SK,22,5,4,3,8,0,1,13,0,1,2,0,2,0,1,0,4,5,0,1,2,0,0,71
8288,Jy Simpkin,12502,NM,SK,22,4,3,7,11,1,0,0,2,0,2,0,1,1,0,0,6,6,1,0,1,1,0,75
